LJ021-0001|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section 6.|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section six.
LJ030-0038|Every effort is made to prevent unscheduled stops, although the President may, and in Dallas did, order stops in order to greet the public.|Every effort is made to prevent unscheduled stops, although the President may, and in Dallas did, order stops in order to greet the public.
LJ030-0039|Men the motorcade slows or stops, agents take positions between the President and the crowd.|Men the motorcade slows or stops, agents take positions between the President and the crowd.
LJ030-0040|The order of vehicles in the Dallas motorcade was as follows:|The order of vehicles in the Dallas motorcade was as follows:
LJ030-0041|Motorcycles. -- Dallas police motorcycles preceded the pilot car.|Motorcycles. -- Dallas police motorcycles preceded the pilot car.
LJ030-0042|Manned by officers of the Dallas Police Department, this automobile preceded the main party by approximately quarter of a mile.|Manned by officers of the Dallas Police Department, this automobile preceded the main party by approximately quarter of a mile.
LJ030-0043|Its function was to alert police along the route that the motorcade was approaching and to check for signs of trouble.|Its function was to alert police along the route that the motorcade was approaching and to check for signs of trouble.
LJ030-0044|Motorcycles. -- Next came four to six motorcycle policemen whose main purpose was to keep the crowd back.|Motorcycles. -- Next came four to six motorcycle policemen whose main purpose was to keep the crowd back.
LJ030-0045|The lead car. -- Described as a "rolling command car," this was an unmarked Dallas police car, driven by Chief of Police Curry|The lead car. -- Described as a "rolling command car," this was an unmarked Dallas police car, driven by Chief of Police Curry
LJ030-0046|and occupied by Secret Service Agents Sorrels and Lawson and by Dallas County Sheriff J. E. Decker.|and occupied by Secret Service Agents Sorrels and Lawson and by Dallas County Sheriff J. E. Decker.
LJ030-0047|The occupants scanned the crowd and the buildings along the route.|The occupants scanned the crowd and the buildings along the route.
LJ030-0048|Their main function was to spot trouble in advance and to direct any necessary steps to meet the trouble.|Their main function was to spot trouble in advance and to direct any necessary steps to meet the trouble.
LJ030-0049|Following normal practice, the lead automobile stayed approximately 4 to 5 car lengths ahead of the President's limousine.|Following normal practice, the lead automobile stayed approximately four to five car lengths ahead of the President's limousine.
LJ030-0050|The Presidential limousine.|The Presidential limousine.
LJ030-0051|The President's automobile was specially designed 1961 Lincoln convertible|The President's automobile was specially designed nineteen sixty-one Lincoln convertible
LJ030-0052|with two collapsible jump seats between the front and rear seats.|with two collapsible jump seats between the front and rear seats.
LJ030-0053|It was outfitted with a clear plastic bubbletop which was neither bulletproof nor bullet resistant.|It was outfitted with a clear plastic bubbletop which was neither bulletproof nor bullet resistant.
LJ030-0054|Because the skies had cleared in Dallas, Lawson directed that the top not be used for the day's activities.|Because the skies had cleared in Dallas, Lawson directed that the top not be used for the day's activities.
LJ030-0055|He acted on instructions he had received earlier from Assistant Special Agent in Charge Roy H. Kellerman, who was in Fort Worth with the President.|He acted on instructions he had received earlier from Assistant Special Agent in Charge Roy H. Kellerman, who was in Fort Worth with the President.
LJ030-0056|Kellerman had discussed the matter with O'Donnell, whose instructions were, quote,|Kellerman had discussed the matter with O'Donnell, whose instructions were, quote,
LJ030-0057|If the weather is clear and it is not raining, have that bubbletop off, end quote,|If the weather is clear and it is not raining, have that bubbletop off, end quote,
LJ030-0058|Elevated approximately 15 inches above the back of the front seat|Elevated approximately fifteen inches above the back of the front seat
LJ030-0059|was a metallic frame with four handholds that riders in the car could grip while standing in the rear seat during parades.|was a metallic frame with four handholds that riders in the car could grip while standing in the rear seat during parades.
LJ030-0060|At the rear on each side of the automobile were small running boards, each designed to hold a Secret Service agent,|At the rear on each side of the automobile were small running boards, each designed to hold a Secret Service agent,
LJ030-0061|with a metallic handle for the rider to grasp.|with a metallic handle for the rider to grasp.
LJ030-0062|The President had frequently stated that he did not want agents to ride on these steps during a motorcade except when necessary.|The President had frequently stated that he did not want agents to ride on these steps during a motorcade except when necessary.
LJ030-0063|He had repeated this wish only a few days before, during his visit to Tampa, Florida.|He had repeated this wish only a few days before, during his visit to Tampa, Florida.
LJ030-0064|President Kennedy rode on the right-hand side of the rear seat with Mrs. Kennedy on his left.|President Kennedy rode on the right-hand side of the rear seat with Mrs. Kennedy on his left.
