LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ035-0207|This witness identified Oswald in a lineup as the man most nearly resembling the man he saw and later identified Oswald as the man he observed.|This witness identified Oswald in a lineup as the man most nearly resembling the man he saw and later identified Oswald as the man he observed.
LJ035-0209|at 12:30 p.m|at twelve:thirty p.m
LJ035-0210|On the basis of these findings the Commission has concluded that Oswald, at the time of the assassination,|On the basis of these findings the Commission has concluded that Oswald, at the time of the assassination,
LJ036-0001|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy.
LJ036-0002|Chapter 4. The Assassin: Part 5.|Chapter four. The Assassin: Part five.
LJ036-0003|The Killing of Patrolman J. D. Tippit|The Killing of Patrolman J. D. Tippit
LJ036-0004|After leaving the Depository Building at approximately 12:33 p.m., Lee Harvey Oswald proceeded to his roominghouse by bus and taxi.|After leaving the Depository Building at approximately twelve:thirty-three p.m., Lee Harvey Oswald proceeded to his roominghouse by bus and taxi.
LJ036-0005|He arrived at approximately 1 p.m. and left a few minutes later.|He arrived at approximately one p.m. and left a few minutes later.
LJ036-0006|At about 1:16 p.m., a Dallas police officer, J. D. Tippit, was shot less than 1 mile from Oswald's roominghouse.|At about one:sixteen p.m., a Dallas police officer, J. D. Tippit, was shot less than one mile from Oswald's roominghouse.
LJ036-0007|In deciding whether Oswald killed Patrolman Tippit the Commission considered the following:|In deciding whether Oswald killed Patrolman Tippit the Commission considered the following:
LJ036-0008|(1) positive identification of the killer by two eyewitnesses who saw the shooting|(one) positive identification of the killer by two eyewitnesses who saw the shooting
LJ036-0009|and seven eyewitnesses who heard the shots and saw the gunman flee the scene with the revolver in his hand,|and seven eyewitnesses who heard the shots and saw the gunman flee the scene with the revolver in his hand,
LJ036-0010|(2) testimony of firearms identification experts establishing the identity of the murder weapon,|(two) testimony of firearms identification experts establishing the identity of the murder weapon,
LJ036-0011|(3) evidence establishing the ownership of the murder weapon,|(three) evidence establishing the ownership of the murder weapon,
LJ036-0012|(4) evidence establishing the ownership of a zipper jacket|(four) evidence establishing the ownership of a zipper jacket
LJ036-0013|found along the path of flight taken by the gunman from the scene of the shooting to the place of arrest.|found along the path of flight taken by the gunman from the scene of the shooting to the place of arrest.
LJ036-0014|Oswald's Movements After Leaving Depository Building|Oswald's Movements After Leaving Depository Building
LJ036-0015|According to the reconstruction of time and events which the Commission found most credible,|According to the reconstruction of time and events which the Commission found most credible,
LJ036-0016|Lee Harvey Oswald left the building approximately 3 minutes after the assassination.|Lee Harvey Oswald left the building approximately three minutes after the assassination.
LJ036-0017|He probably walked east on Elm Street for seven blocks to the corner of Elm and Murphy|He probably walked east on Elm Street for seven blocks to the corner of Elm and Murphy
LJ036-0018|where he boarded a bus which was heading back in the direction of the Depository Building, on its way to the Oak Cliff section of Dallas.|where he boarded a bus which was heading back in the direction of the Depository Building, on its way to the Oak Cliff section of Dallas.
LJ036-0019|When Oswald was apprehended, a bus transfer marked for the Lakewood-Marsalis route was found in his shirt pocket.|When Oswald was apprehended, a bus transfer marked for the Lakewood-Marsalis route was found in his shirt pocket.
LJ036-0020|The transfer was dated "Friday November 22, '63" and was punched in two places by the bus driver.|The transfer was dated "Friday November twenty-two, 'sixty-three" and was punched in two places by the bus driver.
LJ036-0021|On the basis of this punchmark, which was distinctive to each Dallas driver,|On the basis of this punchmark, which was distinctive to each Dallas driver,
LJ036-0022|the transfer was conclusively identified as having been issued by Cecil J. McWatters, a busdriver for the Dallas Transit Co.|the transfer was conclusively identified as having been issued by Cecil J. McWatters, a busdriver for the Dallas Transit Co.
